Oyuncu İsmi,Uyruk,Piyasa Değeri,Piyasa Değeri (Sayısal),Doğum Tarihi,Yaş
Mert Müldür ,Türkiye,6.50 mil. €  ,6500000.0,3 Nis 1999,25
Sofyan Amrabat ,Fas,22.00 mil. €  ,22000000.0,21 Ağu 1996,28
İsmail Yüksek ,Türkiye,14.00 mil. €  ,14000000.0,26 Oca 1999,25
Bartuğ Elmaz ,Türkiye,1.50 mil. €  ,1500000.0,19 Şub 2003,21
Fred,Brezilya,13.00 mil. €  ,13000000.0,5 Mar 1993,31
Sebastian Szymański,Polonya,17.00 mil. €  ,17000000.0,10 May 1999,25
Lincoln ,Brezilya,4.00 mil. €,4000000.0,7 Kas 1998,26
Mert Hakan Yandaş,Türkiye,1.10 mil. €  ,1100000.0,19 Ağu 1994,30
Allan Saint-Maximin,Fransa,17.00 mil. €  ,17000000.0,12 Mar 1997,27
Oğuz Aydın ,Türkiye,6.00 mil. €  ,6000000.0,27 Eki 2000,24
İrfan Can Kahveci,Türkiye,9.50 mil. €  ,9500000.0,15 Tem 1995,29
Cengiz Ünder,Türkiye,7.50 mil. €  ,7500000.0,14 Tem 1997,27
Dusan Tadic,Sırbistan,3.00 mil. €  ,3000000.0,20 Kas 1988,36
Burak Kapacak ,Türkiye,200 bin €  ,200000.0,8 Ara 1999,25
Youssef En-Nesyri,Fas,22.00 mil. €  ,22000000.0,1 Haz 1997,27
Edin Dzeko ,Bosna-Hersek,2.20 mil. €  ,2200000.0,17 Mar 1986,38
Cenk Tosun,Türkiye,1.40 mil. €  ,1400000.0,7 Haz 1991,33
