Oyuncu İsmi,Yaş,Uyruk,Piyasa Değeri,Piyasa Değeri (Sayısal)
Yusuf Yılmaz,18,Türkiye,50 bin €,50000.0
Jerome Opoku,26,Gana,2.90 mil. €,2900000.0
Ousseynou Ba,29,Senegal,2.50 mil. €,2500000.0
Hamza Güreler,18,Türkiye,1.80 mil. €,1800000.0
Christopher Operi ,27,Fildişi Sahili,4.00 mil. €,4000000.0
Lucas Lima,33,Brezilya,900 bin €,900000.0
Emre Kaplan,24,Türkiye,350 bin €,350000.0
Eren Karaağaç,20,Türkiye,50 bin €,50000.0
Léo Duarte ,28,Brezilya,3.00 mil. €,3000000.0
Ömer Ali Şahiner ,33,Türkiye,400 bin €,400000.0
Burak Sefa Kavraz,19,Türkiye,50 bin €,50000.0
Berat Özdemir,26,Türkiye,4.80 mil. €,4800000.0
Eden Karzev ,24,İsrail,1.50 mil. €,1500000.0
Onur Ergün ,32,Türkiye,500 bin €,500000.0
Miguel Crespo,28,Portekiz,3.50 mil. €,3500000.0
Berkay Özcan ,26,Türkiye,2.70 mil. €,2700000.0
Olivier Kemen,28,Kamerun,2.20 mil. €,2200000.0
Dimitrios Pelkas,31,Yunanistan,1.80 mil. €,1800000.0
Matchoi Djaló,21,Portekiz,1.10 mil. €,1100000.0
Ömer Beyaz,21,Türkiye,450 bin €,450000.0
Davidson,33,Brezilya,750 bin €,750000.0
Serdar Gürler ,33,Türkiye,500 bin €,500000.0
Yusuf Sarı,26,Türkiye,3.80 mil. €,3800000.0
Deniz Türüç,31,Türkiye,1.50 mil. €,1500000.0
Patryk Szysz ,26,Polonya,600 bin €,600000.0
Krzysztof Piatek ,29,Polonya,6.50 mil. €,6500000.0
João Figueiredo,28,Brezilya,2.30 mil. €,2300000.0
Philippe Keny,25,Senegal,1.30 mil. €,1300000.0
Ersin Destanoğlu,24,Türkiye,2.00 mil. €,2000000.0
Mert Günok,35,Türkiye,1.20 mil. €,1200000.0
Emir Yaşar,19,Türkiye,175 bin €,175000.0
Göktuğ Baytekin,20,Türkiye,50 bin €,50000.0
Felix Uduokhai,27,Almanya,8.00 mil. €,8000000.0
Emirhan Topçu,24,Türkiye,5.00 mil. €,5000000.0
Tayyip Talha Sanuç ,25,Türkiye,2.80 mil. €,2800000.0
Gabriel Paulista ,34,Brezilya,1.40 mil. €,1400000.0
Necip Uysal   ,33,Türkiye,550 bin €,550000.0
Bakhtiyor Zaynutdinov,26,Kazakistan,3.70 mil. €,3700000.0
Arthur Masuaku,31,Kongo DC,3.50 mil. €,3500000.0
Emrecan Terzi ,21,Türkiye,275 bin €,275000.0
Jonas Svensson,31,Norveç,1.70 mil. €,1700000.0
Onur Bulut,30,Türkiye,1.40 mil. €,1400000.0
Arda Berk Özüarap,19,Türkiye,-,
Moatasem Al-Musrati,28,Libya,11.00 mil. €,11000000.0
Jean Onana,25,Kamerun,3.00 mil. €,3000000.0
Gedson Fernandes,26,Portekiz,17.00 mil. €,17000000.0
Cher Ndour,20,İtalya,4.00 mil. €,4000000.0
Salih Uçan,31,Türkiye,3.00 mil. €,3000000.0
João Mário,31,Portekiz,2.80 mil. €,2800000.0
Alex Oxlade-Chamberlain ,31,İngiltere,2.30 mil. €,2300000.0
Fahri Ay,20,Türkiye,175 bin €,175000.0
Abdullah Aydın ,24,Türkiye,125 bin €  ,125000.0
Semih Kılıçsoy,19,Türkiye,15.00 mil. €,15000000.0
Ernest Muci,23,Arnavutluk,12.00 mil. €,12000000.0
